Name,UID,Club,Based,Nat,DoB,Height,Weight,Best Pos,Transfer Value,Wage,Preferred Foot,Right Foot,Left Foot,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat.1,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
Farès Chaïbi,49060523,Eintracht Frankfurt,Germany (Bundesliga),ALG,28/11/2000 (22 years old),183 cm,72 kg,"M (C), AM (RLC), ST (RL)",€41M - €53M,"€34,500 p/w",Right,Very Strong,Reasonable,16,13,13,11,14,15,8,11,6,8,14,12,10,15,11,12,12,13,11,13,16,15,6,12,9,13,14,12,14,14,12,10,13,13,14,11,3,1,2,3,3,1,1,1,4,1,2
Elye Wahi,49061868,Eintracht Frankfurt,Germany (Bundesliga),FRA,2/1/2001 (22 years old),181 cm,77 kg,ST (C),€29M - €46M,"€27,000 p/w",Right,Very Strong,Weak,8,9,14,16,13,11,12,12,6,6,11,12,6,14,11,12,11,14,12,11,13,13,8,14,8,14,11,14,15,13,12,11,14,16,13,14,1,2,3,2,2,1,2,2,2,2,2
Arthur Theate,18105815,Eintracht Frankfurt,Germany (Bundesliga),BEL,25/5/1998 (25 years old),186 cm,76 kg,D (C),€29M - €37M,"€29,500 p/w",Left,Weak,Very Strong,5,9,11,9,11,6,16,9,8,14,12,7,14,12,15,16,15,12,12,11,17,13,13,11,14,14,11,14,14,14,13,14,13,13,15,14,3,4,3,2,3,3,2,3,2,1,3
Hugo Larsson,2000019708,Eintracht Frankfurt,Germany (Bundesliga),SWE,27/6/2002 (21 years old),187 cm,79 kg,M (C),€24M - €37M,"€29,000 p/w",Right,Very Strong,Reasonable,11,10,12,9,13,11,8,11,7,10,13,10,11,13,12,13,13,12,13,12,16,13,11,13,11,14,12,15,14,13,12,12,16,13,16,11,1,2,4,1,2,1,3,1,1,3,2
Ellyes Skhiri,85126092,Eintracht Frankfurt,Germany (Bundesliga),TUN,10/5/1993 (30 years old),185 cm,74 kg,"DM, M (C)",€16.5M - €25M,"€67,000 p/w",Right,Very Strong,Reasonable,4,8,12,13,13,6,13,12,6,13,14,7,16,12,15,16,16,14,13,13,17,12,14,14,13,15,12,17,12,12,15,13,16,13,19,12,4,3,1,2,3,2,2,3,2,3,2
Robin Koch,91147345,Eintracht Frankfurt,Germany (Bundesliga),GER,17/7/1994 (29 years old),192 cm,85 kg,D (C),€14M - €17M,"€31,500 p/w",Right,Very Strong,Reasonable,2,6,8,6,12,3,15,7,8,14,13,6,13,11,14,13,14,14,13,13,14,8,15,8,15,16,12,14,12,11,16,16,12,15,13,15,2,2,2,2,2,2,2,2,3,1,2
Ritsu Doan,45095577,Eintracht Frankfurt,Germany (Bundesliga),JPN,16/6/1996 (27 years old),172 cm,70 kg,"AM (RL), ST (RL)",€13M - €16M,"€30,500 p/w",Left,Reasonable,Very Strong,12,10,15,12,15,13,7,12,6,8,13,12,12,16,13,12,13,12,11,12,13,15,7,14,9,13,13,15,13,16,12,6,13,15,13,10,1,2,3,2,3,4,2,1,1,2,3
Ansgar Knauff,91203087,Eintracht Frankfurt,Germany (Bundesliga),GER,10/1/2000 (23 years old),180 cm,73 kg,"M/AM (RL), ST (RL)",€12.5M - €16M,"€34,500 p/w",Right,Very Strong,Reasonable,10,10,13,11,12,8,8,10,14,8,10,8,12,12,13,10,13,10,9,9,14,13,3,12,9,12,10,14,16,14,9,10,13,15,13,9,2,3,2,3,1,2,1,2,2,2,1
Rasmus Kristensen,27100968,Eintracht Frankfurt,Germany (Bundesliga),DEN,11/7/1995 (28 years old),187 cm,70 kg,D/WB (RL),€9.2M - €14M,"€31,500 p/w",Right,Very Strong,Reasonable,9,15,11,10,12,8,13,9,13,12,11,9,13,11,18,12,15,11,11,13,15,11,13,12,11,14,11,15,14,13,14,14,14,14,15,14,3,3,2,3,2,3,3,2,1,1,2
Aurèle Amenda,84161623,Eintracht Frankfurt,Germany (Bundesliga),SUI,31/7/2001 (21 years old),197 cm,90 kg,D (C),€7M - €9M,"€23,000 p/w",Right Only,Very Strong,Weak,3,4,7,4,9,4,14,5,6,12,10,7,14,9,12,12,13,12,11,12,13,7,10,6,12,12,9,13,13,10,16,16,14,14,13,17,1,1,3,3,2,1,3,3,2,1,3
Mario Götze,35017438,Eintracht Frankfurt,Germany (Bundesliga),GER,3/6/1990 (33 years old),176 cm,75 kg,"M (C), AM (RLC), ST (RL)",€5.8M - €9M,"€67,000 p/w",Right,Very Strong,Reasonable,14,12,13,10,18,13,8,11,6,9,16,12,10,17,13,14,10,17,13,14,12,14,13,11,10,13,16,15,12,13,14,7,14,11,16,9,3,4,1,2,1,2,1,2,3,3,2
Mahmoud Dahoud,92063787,Eintracht Frankfurt,Germany (Bundesliga),GER,1/1/1994 (29 years old),178 cm,68 kg,"M (C), AM (RLC), ST (RL)",€5.4M - €6.8M,"€27,500 p/w",Right,Very Strong,Reasonable,12,8,15,8,16,11,6,12,6,11,16,10,12,16,14,12,12,14,10,12,12,13,7,12,11,13,15,15,13,15,12,7,11,12,15,10,3,3,1,1,1,4,3,3,3,3,1
Can Uzun,2000103330,Eintracht Frankfurt,Germany (Bundesliga),TUR,11/11/2003 (19 years old),186 cm,67 kg,AM (C),€4.9M - €7.6M,"€8,000 p/w",Right,Very Strong,Fairly Strong,11,9,16,13,14,12,10,12,6,7,13,14,7,16,13,10,9,11,10,9,15,17,6,11,7,11,13,10,13,14,10,10,12,12,12,8,3,2,1,2,3,2,1,1,3,3,2
Jessic Ngankam,91175633,Eintracht Frankfurt,Germany (Bundesliga),GER,20/7/1998 (24 years old),180 cm,84 kg,ST (C),€4M,"€31,500 p/w",Right,Very Strong,Weak,4,8,13,12,12,7,12,10,6,7,11,13,8,12,16,12,16,11,10,11,16,13,10,13,7,12,11,16,15,12,15,12,10,17,11,15,3,2,1,1,2,2,4,1,1,2,2
Jean-Mattéo Bahoya,2000113245,Eintracht Frankfurt,Germany (Bundesliga),FRA,7/5/2003 (20 years old),180 cm,75 kg,"AM (RL), ST (RL)",€3.3M - €6.8M,"€24,000 p/w",Right,Very Strong,Weak,7,8,13,12,12,8,10,11,4,6,11,11,6,13,10,11,11,11,11,10,14,12,7,11,7,11,12,11,14,12,10,11,13,14,11,7,3,1,2,2,1,3,2,2,1,1,2
Nathaniel Brown,2000068585,Eintracht Frankfurt,Germany (Bundesliga),GER,16/6/2001 (22 years old),176 cm,60 kg,D/WB (RL),€2.6M - €5.6M,"€19,250 p/w",Left Only,Weak,Very Strong,12,13,13,7,12,12,7,7,13,10,12,7,13,13,12,11,14,12,11,10,15,13,4,12,10,13,12,13,14,14,10,8,15,16,14,9,2,2,1,3,4,3,2,1,3,2,2
Jonathan Burkardt,91170086,Eintracht Frankfurt,Germany (Bundesliga),GER,11/7/1998 (25 years old),181 cm,76 kg,ST (C),€700K - €9.8M,"€24,000 p/w",Right,Very Strong,Fairly Strong,8,8,13,11,12,8,11,8,6,7,12,12,8,13,12,12,14,12,10,11,16,13,12,13,7,16,12,16,16,13,9,11,10,16,14,10,3,3,3,4,1,2,1,2,2,1,1
Oscar Højlund,2000126886,Eintracht Frankfurt,Germany (Bundesliga),DEN,4/1/2003 (20 years old),180 cm,71 kg,"M (C), AM (RLC), ST (RL)",€650K - €9.6M,"€6,500 p/w",Right,Very Strong,Weak,6,11,13,9,13,8,9,9,5,10,13,6,10,14,14,13,13,12,10,12,14,10,7,13,11,14,12,14,13,13,12,13,11,13,12,8,2,2,1,1,1,3,3,3,1,2,2
Michael Zetterer,92065694,Eintracht Frankfurt,Germany (Bundesliga),GER,12/7/1993 (30 years old),187 cm,79 kg,GK,€475K - €4.8M,"€15,500 p/w",Right Only,Very Strong,Weak,5,2,4,3,9,9,6,1,2,1,10,5,1,9,12,13,14,12,13,12,12,5,12,1,13,13,9,12,8,14,12,15,11,10,11,12,12,13,13,10,13,11,14,10,15,10,12
Aurélio Buta,55070291,Eintracht Frankfurt,Germany (Bundesliga),POR,10/2/1995 (28 years old),172 cm,66 kg,D/WB (RL),€475K - €4.8M,"€29,000 p/w",Right,Very Strong,Reasonable,8,12,13,7,12,7,7,9,13,11,11,7,13,13,13,13,13,11,11,12,13,14,7,16,11,12,11,14,15,15,12,8,11,15,15,11,1,1,4,1,2,1,1,1,3,2,1
Michy Batshuayi,18053710,Eintracht Frankfurt,Germany (Bundesliga),BEL,2/10/1991 (31 years old),185 cm,78 kg,ST (C),€130K - €8.2M,"€27,500 p/w",Right,Very Strong,Strong,5,7,12,15,16,9,11,12,8,3,11,14,3,14,15,13,13,15,7,8,12,10,10,15,5,13,8,13,13,14,14,11,16,9,13,14,2,3,3,2,2,3,2,3,1,3,3
Nnamdi Collins,2000045854,Eintracht Frankfurt,Germany (Bundesliga),GER,10/1/2002 (21 years old),191 cm,84 kg,D (C),€80K - €800K,"€14,500 p/w",Right Only,Very Strong,Weak,2,7,10,6,11,3,12,6,12,12,12,8,12,12,12,9,12,10,9,9,11,8,10,8,12,12,11,11,16,10,12,14,12,16,10,13,2,3,1,1,1,3,3,3,1,1,2
Timothy Chandler,91001071,Eintracht Frankfurt,Germany (Bundesliga),USA,29/3/1988 (35 years old),187 cm,84 kg,D/WB (RL),€45K,"€24,000 p/w",Right,Very Strong,Fairly Strong,7,12,10,7,11,7,12,8,17,12,10,6,12,11,15,11,14,10,13,11,15,8,13,12,12,16,9,15,12,10,12,12,14,12,12,14,3,1,2,1,3,3,1,3,1,1,1
Jens Grahl,35012145,Eintracht Frankfurt,Germany (Bundesliga),GER,22/9/1986 (36 years old),192 cm,88 kg,GK,€40K - €120K,"€7,750 p/w",Right Only,Very Strong,Weak,4,3,1,2,7,7,7,2,3,3,8,5,3,7,12,12,13,12,13,13,13,5,13,1,13,17,7,11,7,13,12,15,13,7,9,15,14,12,12,6,12,10,12,11,12,12,12
Nico Ochojski,91199076,Eintracht Frankfurt,Germany (Bundesliga),GER,9/1/1997 (26 years old),182 cm,77 kg,D/WB (RL),€35K - €350K,"€2,600 p/w",Right Only,Very Strong,Weak,8,14,10,9,12,6,8,9,9,10,11,4,12,9,9,9,10,10,13,12,2,12,12,9,12,10,11,10,14,14,10,11,6,14,14,10,2,2,2,3,2,1,3,2,1,1,3
Philipp Lienhart,16130398,Freiburg,Germany (Bundesliga),AUT,11/7/1994 (29 years old),189 cm,83 kg,D (C),€10.5M - €16.5M,"€49,000 p/w",Right,Very Strong,Reasonable,4,7,11,6,12,4,16,6,16,14,13,7,13,12,12,15,13,15,15,13,13,8,12,9,14,16,11,12,12,11,15,16,16,14,13,14,2,1,3,1,3,2,3,3,4,3,1
Jan-Niklas Beste,91151058,Freiburg,Germany (Bundesliga),GER,4/1/1997 (26 years old),175 cm,66 kg,"M/AM (RL), ST (RL)",€7.6M - €11.5M,"€25,500 p/w",Left,Reasonable,Very Strong,18,16,13,11,12,17,6,12,12,9,12,13,11,12,16,11,12,11,10,10,16,13,7,12,9,15,12,16,14,14,10,7,13,15,14,8,3,3,1,2,1,2,2,1,3,2,1
Maximilian Eggestein,91126294,Freiburg,Germany (Bundesliga),GER,8/12/1994 (28 years old),181 cm,77 kg,M (C),€7.4M - €11.5M,"€43,000 p/w",Right,Very Strong,Fairly Strong,8,10,11,8,14,8,11,11,6,12,14,13,12,14,12,13,12,14,16,13,13,10,15,12,12,15,13,15,11,12,14,11,17,12,17,12,2,1,2,3,4,3,1,1,2,3,2
Noah Atubolu,91188349,Freiburg,Germany (Bundesliga),GER,25/5/2000 (23 years old),190 cm,96 kg,GK,€7.4M - €9M,"€24,000 p/w",Right Only,Very Strong,Weak,4,3,2,2,11,7,7,1,9,3,12,3,2,12,13,12,14,12,12,12,16,8,12,4,13,12,12,13,8,13,13,16,14,9,10,14,13,12,12,12,12,13,13,8,15,15,13
Maximilian Philipp,91108767,Freiburg,Germany (Bundesliga),GER,1/3/1992 (31 years old),183 cm,79 kg,AM (C),€5.6M - €7.2M,"€19,000 p/w",Right,Very Strong,Fairly Strong,13,10,13,11,16,14,8,14,6,7,13,16,8,16,13,12,9,12,9,12,11,14,6,13,7,12,14,9,13,13,12,10,11,15,11,11,2,2,2,2,1,2,2,1,2,3,2
Patrick Osterhage,91187649,Freiburg,Germany (Bundesliga),GER,1/2/1998 (25 years old),186 cm,80 kg,"DM, M (C)",€2.7M - €5.6M,"€14,500 p/w",Left,Reasonable,Very Strong,11,10,12,7,12,12,11,11,7,12,13,8,13,12,13,12,14,12,15,12,15,12,8,11,12,16,12,17,12,12,13,11,12,14,16,12,1,2,2,2,2,3,1,2,1,2,3
Jordy Makengo,2000028585,Freiburg,Germany (Bundesliga),FRA,3/8/1999 (23 years old),191 cm,78 kg,D/WB (RL),€2.3M - €4.9M,"€7,750 p/w",Left Only,Weak,Very Strong,6,12,12,6,11,7,12,6,14,12,12,7,13,11,14,11,14,10,11,11,14,12,7,11,12,14,11,15,14,12,13,14,13,15,14,13,3,1,3,2,1,2,2,3,1,2,3
Lukas Kübler,91101321,Freiburg,Germany (Bundesliga),GER,30/8/1990 (32 years old),182 cm,74 kg,D/WB (RL),€1.7M - €3.6M,"€26,000 p/w",Right,Very Strong,Reasonable,4,11,10,7,11,6,13,7,16,13,11,7,14,11,12,12,16,11,12,12,15,7,10,11,13,16,11,14,13,11,14,13,12,15,16,13,2,1,2,3,1,2,2,3,3,3,3
Florian Müller,92082045,Freiburg,Germany (Bundesliga),GER,13/11/1995 (27 years old),190 cm,88 kg,GK,€1.4M - €3.1M,"€23,000 p/w",Left Only,Weak,Very Strong,3,2,1,2,10,5,7,2,1,2,12,3,2,11,7,13,14,13,12,12,12,7,8,3,13,12,12,10,10,14,12,16,14,12,12,12,13,11,11,12,13,12,14,12,14,17,12
Lucas Höler,91137228,Freiburg,Germany (Bundesliga),GER,10/7/1992 (31 years old),184 cm,83 kg,ST (C),€1.1M - €8.8M,"€33,500 p/w",Right,Very Strong,Fairly Strong,4,8,11,12,12,5,15,10,6,8,12,12,12,12,16,12,18,12,13,12,18,10,10,15,11,18,12,18,12,12,14,14,15,14,16,13,3,1,3,3,2,3,4,3,2,2,2
Igor Matanović,2000072022,Freiburg,Germany (Bundesliga),CRO,31/3/2001 (22 years old),194 cm,90 kg,ST (C),€450K - €4.6M,"€3,800 p/w",Right,Very Strong,Reasonable,3,8,12,12,12,12,12,8,6,5,11,12,6,13,13,12,12,12,11,11,13,13,7,12,6,11,11,12,12,12,13,16,11,13,12,13,2,1,2,3,3,4,2,1,3,3,3
Derry Scherhant,2000071254,Freiburg,Germany (Bundesliga),GER,10/11/2000 (22 years old),185 cm,78 kg,"AM (RL), ST (RL)",€425K - €4.4M,"€4,700 p/w",Right,Very Strong,Reasonable,8,8,14,11,12,8,8,10,6,7,11,12,7,13,6,10,9,11,9,10,12,16,5,12,7,11,11,12,15,13,9,11,12,15,11,9,3,1,3,2,2,1,2,2,3,3,2
Daniel-Kofi Kyereh,91179959,Freiburg,Germany (Bundesliga),GHA,8/3/1994 (29 years old),179 cm,74 kg,AM (C),€300K - €3M,"€24,000 p/w",Right,Very Strong,Reasonable,13,11,15,12,14,15,11,12,6,8,13,11,8,16,13,12,9,13,10,12,12,17,7,12,8,11,13,11,14,15,12,9,10,14,12,9,2,1,2,1,3,1,3,1,1,3,1
Max Rosenfelder,2000068498,Freiburg,Germany (Bundesliga),GER,10/2/2001 (22 years old),186 cm,76 kg,D (C),€250K - €2.5M,"€3,400 p/w",Right,Very Strong,Reasonable,3,8,11,6,11,4,12,7,10,13,12,8,12,11,15,11,12,12,13,11,14,8,11,9,13,14,11,13,12,10,12,12,10,13,12,12,1,2,1,2,1,2,3,3,3,1,1
Eren Dinkci,91204663,Freiburg,Germany (Bundesliga),TUR,13/12/1999 (23 years old),188 cm,70 kg,"AM (RL), ST (RL)",€240K - €2.4M,"€8,250 p/w",Right,Very Strong,Reasonable,11,9,12,12,11,10,11,9,7,6,10,11,7,12,13,11,10,10,9,9,12,12,5,12,6,11,10,13,16,13,9,12,11,17,12,8,1,2,2,3,2,3,2,1,2,2,4
Nicolas Höfler,35017386,Freiburg,Germany (Bundesliga),GER,9/3/1988 (35 years old),181 cm,79 kg,"DM, M (C)",€170K - €1.7M,"€34,500 p/w",Right,Very Strong,Reasonable,5,7,11,7,12,7,12,8,7,13,14,6,14,13,16,16,15,16,17,14,16,8,15,9,16,19,13,15,11,11,15,12,19,12,17,13,3,2,3,1,2,3,1,1,2,3,1
Philipp Treu,91208079,Freiburg,Germany (Bundesliga),GER,3/12/1998 (24 years old),172 cm,71 kg,D/WB (RL),€160K - €1.6M,"€6,500 p/w",Right,Very Strong,Reasonable,10,12,12,7,11,8,7,8,14,9,11,7,12,12,14,10,12,11,11,9,13,12,11,12,10,15,11,14,14,13,11,7,13,14,14,9,2,2,2,2,2,3,1,1,3,3,2
Junior Adamu,16202374,Freiburg,Germany (Bundesliga),AUT,6/6/1999 (24 years old),182 cm,79 kg,ST (C),€150K - €5.6M,"€24,000 p/w",Right,Very Strong,Fairly Strong,8,8,12,12,12,9,12,10,6,6,10,13,7,12,11,12,13,11,10,11,13,12,5,15,6,11,10,12,16,14,11,12,10,15,12,12,1,3,3,1,3,3,3,3,3,1,1
Anthony Jung,92021650,Freiburg,Germany (Bundesliga),GER,3/11/1989 (33 years old),186 cm,83 kg,D/WB (RL),€130K - €1.3M,"€17,500 p/w",Left,Weak,Very Strong,12,12,11,8,12,13,13,10,14,13,12,10,13,11,15,12,15,12,13,12,13,8,12,12,13,16,11,16,12,10,14,13,16,12,15,13,2,3,3,2,3,2,2,3,3,1,4
Mathias Fetsch,92025921,Freiburg,Germany (Bundesliga),GER,30/9/1986 (36 years old),189 cm,80 kg,ST (C),€40K - €120K,"€5,250 p/w",Right Only,Very Strong,Weak,5,7,12,14,10,8,16,12,7,6,15,10,8,12,11,12,13,12,11,11,11,13,7,15,12,15,13,16,10,11,15,16,12,13,14,13,2,1,3,2,3,3,1,2,3,3,3
Jannik Huth,91136179,Freiburg,Germany (Bundesliga),GER,15/4/1992 (31 years old),183 cm,80 kg,GK,€35K - €350K,"€5,500 p/w",Right Only,Very Strong,Weak,6,3,2,3,10,8,7,3,2,2,12,5,1,11,13,12,13,14,12,11,13,5,14,1,13,12,11,12,9,13,12,13,13,12,10,12,11,11,12,12,13,13,13,8,14,16,11
Kimberly Ezekwem,91208055,Freiburg,Germany (Bundesliga),GER,19/6/1999 (24 years old),188 cm,76 kg,D/WB (RL),€24K - €240K,"€7,750 p/w",Left,Weak,Very Strong,14,14,12,6,11,13,12,7,15,12,12,8,12,12,13,10,12,11,10,9,13,13,8,12,12,13,12,12,12,12,11,12,10,13,13,12,3,1,2,3,2,1,2,1,2,2,3
Marc Hornschuh,35011184,Freiburg,Germany (Bundesliga),GER,2/3/1989 (34 years old),188 cm,82 kg,D (C),€0 - €20K,"€3,600 p/w",Right,Very Strong,Weak,4,7,6,5,9,5,13,5,13,14,10,8,14,9,8,13,14,11,12,12,11,5,13,6,14,16,7,13,8,11,14,14,12,8,11,13,2,1,2,3,3,4,1,3,4,2,4
Matthias Ginter,91107789,Freiburg,Germany (Bundesliga),GER,19/1/1992 (31 years old),191 cm,86 kg,D (C),Not for Sale,"€58,000 p/w",Right,Very Strong,Reasonable,3,10,8,7,12,8,16,7,13,15,13,12,13,12,12,14,15,16,14,13,13,8,15,10,15,16,12,13,11,10,15,16,18,13,13,15,2,3,2,2,2,3,2,1,1,3,1
Christian Günter,91105585,Freiburg,Germany (Bundesliga),GER,28/2/1991 (32 years old),184 cm,83 kg,D/WB (RL),Not for Sale,"€34,500 p/w",Left,Weak,Very Strong,16,16,11,8,12,14,7,11,18,12,11,7,12,12,15,12,13,11,12,12,16,11,16,15,12,14,11,16,14,11,12,10,19,16,17,12,2,2,3,3,1,2,1,3,1,3,3
Vincenzo Grifo,91105243,Freiburg,Germany (Bundesliga),ITA,7/4/1991 (32 years old),180 cm,80 kg,"M/AM (RL), ST (RL)",Not for Sale,"€43,000 p/w",Right,Very Strong,Weak,18,16,14,12,16,18,7,16,8,8,15,17,8,16,11,13,9,15,12,13,11,16,15,13,8,12,16,11,14,15,12,9,16,13,14,9,2,1,3,2,3,2,2,1,2,1,4
Emile Smith Rowe,28109599,Fulham,England (Premier League),ENG,28/7/1998 (24 years old),182 cm,76 kg,"M (C), AM (RLC), ST (RL)",€47M - €60M,"€86,000 p/w",Right,Very Strong,Reasonable,11,12,15,12,14,12,5,13,2,6,15,11,8,15,13,14,11,13,12,13,15,15,8,15,8,15,15,15,16,15,15,8,13,14,14,9,1,3,3,1,1,2,2,2,1,1,3
Joachim Andersen,27069975,Fulham,England (Premier League),DEN,31/5/1994 (29 years old),192 cm,85 kg,D (C),€37M - €47M,"€82,000 p/w",Right,Very Strong,Fairly Strong,8,10,10,8,13,11,14,8,5,15,16,10,14,14,14,15,13,15,14,13,15,11,13,11,14,14,14,12,13,11,13,17,14,12,13,14,3,3,2,1,2,2,3,2,2,2,1
Kenny Tete,37039829,Fulham,England (Premier League),NED,9/10/1993 (29 years old),180 cm,71 kg,D/WB (RL),€36M - €44M,"€41,000 p/w",Right,Very Strong,Reasonable,7,14,10,7,12,7,11,10,12,16,13,7,16,12,11,14,14,12,11,14,14,9,8,11,14,15,10,16,15,11,14,12,14,14,15,14,1,1,1,1,2,1,1,3,2,3,1
Antonee Robinson,29125265,Fulham,England (Premier League),USA,8/8/1995 (27 years old),183 cm,70 kg,D/WB (RL),€34M - €42M,"€58,000 p/w",Left,Weak,Very Strong,3,10,13,7,12,7,10,7,4,12,11,8,13,13,13,12,14,11,11,11,12,11,9,12,12,14,12,17,17,13,13,12,14,17,16,14,3,1,3,3,3,1,1,2,3,4,1
Jorge Cuenca,67248170,Fulham,England (Premier League),ESP,17/11/1997 (25 years old),189 cm,76 kg,D (C),€31M - €48M,"€61,000 p/w",Left,Reasonable,Very Strong,7,7,8,7,14,6,14,8,9,15,12,6,15,12,12,14,13,13,14,14,14,7,9,7,15,13,11,13,15,11,12,14,14,15,12,15,1,3,1,2,3,1,3,2,3,2,2
Timothy Castagne,18074558,Fulham,England (Premier League),BEL,5/12/1993 (29 years old),185 cm,80 kg,D/WB (RL),€31M - €48M,"€76,000 p/w",Right,Very Strong,Reasonable,8,14,12,10,12,6,9,8,8,11,13,5,12,13,12,12,11,12,12,12,14,11,9,13,12,15,11,16,14,13,13,12,12,14,15,11,1,3,1,2,1,3,3,3,2,3,3
Harry Wilson,28094949,Fulham,England (Premier League),WAL,22/3/1995 (28 years old),173 cm,64 kg,"M/AM (RL), ST (RL)",€28M - €34M,"€46,500 p/w",Left,Reasonable,Very Strong,14,16,16,13,16,14,5,16,3,7,15,14,9,16,11,12,12,12,9,12,15,15,12,12,8,13,15,13,14,14,14,6,12,14,11,8,1,3,2,2,1,1,1,2,1,1,2
Alex Iwobi,28084930,Fulham,England (Premier League),NGA,3/5/1994 (29 years old),180 cm,82 kg,M (C),€27M - €42M,"€93,000 p/w",Right,Very Strong,Weak,9,14,16,11,13,9,8,13,4,8,13,11,11,14,9,13,10,13,13,15,15,15,8,14,14,15,13,15,14,13,15,12,13,14,16,12,3,1,1,3,1,2,2,3,1,1,2
Adama Traoré,67174729,Fulham,England (Premier League),ESP,25/1/1994 (29 years old),178 cm,72 kg,"M/AM (RL), ST (RL)",€26M - €32M,"€76,000 p/w",Right,Very Strong,Reasonable,6,12,18,10,10,8,11,11,7,7,11,9,7,12,12,9,11,10,8,6,14,18,5,9,10,9,8,9,19,15,15,14,12,19,10,17,3,3,3,1,1,3,3,1,2,1,3
Ryan Sessegnon,29165656,Fulham,England (Premier League),ENG,18/5/1998 (25 years old),178 cm,71 kg,D/WB (RL),€22M - €34M,"€52,000 p/w",Left,Weak,Very Strong,7,12,12,12,10,9,7,11,6,12,12,10,12,14,4,13,7,13,12,11,12,14,7,15,12,14,14,15,15,14,13,8,17,15,16,8,1,3,3,1,2,1,1,1,2,2,3
Saša Lukić,62124117,Fulham,England (Premier League),SRB,13/8/1994 (28 years old),182 cm,77 kg,M (C),€22M - €27M,"€73,000 p/w",Right,Very Strong,Fairly Strong,12,11,13,11,13,7,11,13,4,10,15,14,14,13,13,13,12,14,13,12,14,14,10,13,13,13,12,13,13,13,14,11,14,13,14,13,3,3,2,4,1,1,3,2,1,3,4
Calvin Bassey,28111079,Fulham,England (Premier League),NGA,31/12/1997 (25 years old),185 cm,78 kg,D (C),€21M - €27M,"€52,000 p/w",Left Only,Weak,Very Strong,9,12,12,7,9,7,15,7,14,14,10,9,13,11,13,12,15,12,12,12,10,11,10,11,13,12,7,15,13,10,13,15,16,15,19,18,2,2,2,2,3,2,3,2,2,3,1
Sander Berge,53101282,Fulham,England (Premier League),NOR,18/2/1996 (27 years old),195 cm,88 kg,"DM, M (C)",€19.5M - €30M,"€50,000 p/w",Right,Very Strong,Reasonable,9,11,13,10,13,9,9,11,6,11,15,12,12,14,12,14,10,13,14,14,14,11,11,13,12,13,14,12,13,13,14,12,14,13,14,13,1,1,3,2,2,3,1,3,2,1,1
Harrison Reed,29076104,Fulham,England (Premier League),ENG,27/1/1993 (30 years old),181 cm,74 kg,"DM, M (C)",€18M - €28M,"€58,000 p/w",Right,Very Strong,Reasonable,12,12,11,8,12,12,12,10,8,14,14,8,15,11,14,13,15,13,14,13,15,9,12,13,13,17,11,17,13,14,14,8,15,13,15,11,2,3,3,2,2,1,2,2,3,3,1
Issa Diop,85140415,Fulham,England (Premier League),FRA,9/1/1995 (28 years old),194 cm,92 kg,D (C),€15.5M - €20M,"€76,000 p/w",Right Only,Very Strong,Weak,3,3,12,6,11,5,15,9,8,13,9,4,15,12,14,13,12,12,12,13,15,3,14,11,14,13,9,14,14,13,14,17,16,14,13,16,1,1,2,3,2,3,2,3,2,3,1
Benjamin Lecomte,85041077,Fulham,England (Premier League),FRA,26/4/1989 (34 years old),187 cm,78 kg,GK,€13.5M - €16M,"€50,000 p/w",Left Only,Weak,Very Strong,3,2,3,2,11,7,10,1,2,1,11,3,1,12,8,12,14,11,15,11,14,6,12,10,14,13,11,12,11,14,15,14,14,10,13,14,14,12,14,8,14,11,14,13,16,13,12
Samuel Chukwueze,67269484,Fulham,England (Premier League),NGA,22/5/1997 (26 years old),172 cm,70 kg,"M/AM (RL), ST (RL)",€8M - €12.5M,,Left,Weak,Very Strong,9,14,15,12,13,8,9,12,7,8,13,11,9,13,12,12,13,11,10,12,14,16,8,14,7,10,11,11,17,14,13,7,12,17,15,11,2,3,2,2,1,1,2,3,3,2,1
Kevin,2000031901,Fulham,England (Premier League),BRA,4/1/2001 (22 years old),176 cm,71 kg,"M/AM (RL), ST (RL)",€4.2M - €8.4M,"€16,750 p/w",Right Only,Very Strong,Weak,12,16,12,14,15,10,10,9,3,9,15,12,8,12,14,10,11,9,8,9,5,14,4,12,10,8,14,12,12,14,12,8,16,12,11,8,1,3,2,2,1,2,2,4,3,3,4
Tom Cairney,28025033,Fulham,England (Premier League),SCO,20/1/1989 (34 years old),185 cm,72 kg,"DM, M (C)",€2.1M - €4.4M,"€35,000 p/w",Left Only,Weak,Very Strong,12,15,14,13,17,14,7,15,6,7,15,13,10,16,13,15,9,15,14,15,11,15,17,15,13,15,15,14,10,13,14,10,15,10,12,9,1,2,3,1,2,3,3,1,2,1,3
